date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:59	0/0	---M--	200	added ('OK')	text/plain	etag:%220-58f22cfea24f3%22	http://prosubject.launchrock.com/robots.txt		(from )
20:14:01	28352/28352	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Feb%202020%2019:15:41%20GMT	http://prosubject.launchrock.com/	C:/Users/Usuario/Desktop/ProSubject/prosubject.launchrock.com/index.html	(from )
20:14:02	138752/138752	---M-Z	200	added ('OK')	text/css	etag:%2221e00-58f22cfcd07d3-gzip%22	http://prosubject.launchrock.com/assets/lr-site/dist/css/vendor-styles.css?cache=2020-02-29-19	C:/Users/Usuario/Desktop/ProSubject/prosubject.launchrock.com/assets/lr-site/dist/css/vendor-styles72a8.css	(from http://prosubject.launchrock.com/)
20:14:03	7508/7508	---M-Z	200	added ('OK')	text/css	etag:%221d54-58f22cfccf833-gzip%22	http://prosubject.launchrock.com/assets/lr-site/dist/css/styles.css?cache=2020-02-29-19	C:/Users/Usuario/Desktop/ProSubject/prosubject.launchrock.com/assets/lr-site/dist/css/styles72a8.css	(from http://prosubject.launchrock.com/)
20:14:03	32988/32988	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2280dc-58f22cfe27433%22	http://prosubject.launchrock.com/favicon.ico	C:/Users/Usuario/Desktop/ProSubject/prosubject.launchrock.com/favicon.ico	(from http://prosubject.launchrock.com/)
20:14:05	6631/6631	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Feb%202020%2019:15:44%20GMT	http://prosubject.launchrock.com/lr/site.css?preview=&cache=2020-02-29-19	C:/Users/Usuario/Desktop/ProSubject/prosubject.launchrock.com/lr/siteadbd.css	(from http://prosubject.launchrock.com/)
20:14:05	1583/1583	---M--	200	added ('OK')	image/png	etag:%2291a9df9586d075dbf849709d36077bde%22	https://s3.amazonaws.com/media.launchrock.com/assets/sites/site-cb1teldpzaxazt0rkbf6b3vca/bmodkz-editar%20tama%c3%b1o.png	C:/Users/Usuario/Desktop/ProSubject/s3.amazonaws.com/media.launchrock.com/assets/sites/site-cb1teldpzaxazt0rkbf6b3vca/bmodkz-editar%20tama%c3%b1o.png	(from http://prosubject.launchrock.com/)
20:14:06	3532/3532	---M--	200	added ('OK')	image/png	etag:%2235b810a6491a853ad56eabf2901b350d%22	https://s3.amazonaws.com/media.launchrock.com/assets/sites/site-cb1teldpzaxazt0rkbf6b3vca/dwuohd-profesor%20color.png	C:/Users/Usuario/Desktop/ProSubject/s3.amazonaws.com/media.launchrock.com/assets/sites/site-cb1teldpzaxazt0rkbf6b3vca/dwuohd-profesor%20color.png	(from http://prosubject.launchrock.com/)
20:14:07	1684/1684	---M--	200	added ('OK')	image/png	etag:%227686c21700510fe5649ca58a0c1cdb94%22	https://s3.amazonaws.com/media.launchrock.com/assets/sites/site-cb1teldpzaxazt0rkbf6b3vca/jsqgpp-precios%20bajos%20color.png	C:/Users/Usuario/Desktop/ProSubject/s3.amazonaws.com/media.launchrock.com/assets/sites/site-cb1teldpzaxazt0rkbf6b3vca/jsqgpp-precios%20bajos%20color.png	(from http://prosubject.launchrock.com/)
20:14:07	3048/3048	---M--	200	added ('OK')	image/png	etag:%22ce8d766271c8fa9e7c83be4724169a65%22	https://s3.amazonaws.com/media.launchrock.com/assets/sites/site-cb1teldpzaxazt0rkbf6b3vca/fostq2-libro%20color%20tama%c3%b1o.png	C:/Users/Usuario/Desktop/ProSubject/s3.amazonaws.com/media.launchrock.com/assets/sites/site-cb1teldpzaxazt0rkbf6b3vca/fostq2-libro%20color%20tama%c3%b1o.png	(from http://prosubject.launchrock.com/)
20:14:09	7694/7694	---M-Z	200	added ('OK')	application/javascript	etag:%221e0e-58f22cfcd07d3-gzip%22	http://prosubject.launchrock.com/assets/lr-site/dist/js/scripts.min.js?cache=2020-02-29-19	C:/Users/Usuario/Desktop/ProSubject/prosubject.launchrock.com/assets/lr-site/dist/js/scripts.min72a8.js	(from http://prosubject.launchrock.com/)
20:14:10	785/785	---M-Z	200	added ('OK')	application/javascript	etag:%22311-58f22cfa05a53-gzip%22	http://prosubject.launchrock.com/analytics/lr-site.js?cache=2020-02-29-19	C:/Users/Usuario/Desktop/ProSubject/prosubject.launchrock.com/analytics/lr-site72a8.js	(from http://prosubject.launchrock.com/)
